,customer_id,first_name,last_name,gender,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,address,postcode,state,country,property_valuation
19,20,Basile,Firth,Male,1980-08-13 00:00:00,Project Manager,Manufacturing,Mass Customer,N,No,3 Cordelia Plaza,2153,New South Wales,Australia,10
20,21,Mile,Cammocke,Male,1980-09-20 00:00:00,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,28 5th Center,4413,QLD,Australia,3
21,22,Deeanne,Durtnell,Female,1962-12-10 00:00:00,,IT,Mass Customer,N,No,52 Carey Alley,4740,QLD,Australia,5
22,23,Olav,Polak,Male,1995-02-10 00:00:00,,,High Net Worth,N,Yes,96 Texas Plaza,3218,VIC,Australia,7
23,24,Kim,Skpsey,Female,1977-12-03 00:00:00,Research Assistant I,Argiculture,Mass Customer,N,Yes,48 Eagan Avenue,4868,QLD,Australia,4
24,25,Geoff,Assaf,Male,1976-12-02 00:00:00,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,9 Buell Park,4116,QLD,Australia,7
25,26,Trixi,Ginnelly,Female,1978-06-10 00:00:00,Editor,Financial Services,Mass Customer,N,Yes,02663 Buell Parkway,2519,New South Wales,Australia,11
26,27,Garvin,Klees,Male,1978-09-25 00:00:00,Research Nurse,Health,Mass Customer,N,Yes,2294 Pleasure Place,2135,New South Wales,Australia,12
27,28,Fee,Zellmer,Male,1973-09-30 00:00:00,Senior Quality Engineer,Health,Affluent Customer,N,Yes,2951 Petterle Place,2756,New South Wales,Australia,9
28,29,Mona,Sancraft,Female,1968-06-22 00:00:00,Safety Technician III,Manufacturing,Mass Customer,N,No,63 Lukken Drive,2170,New South Wales,Australia,9
29,30,Darrick,Helleckas,Male,1961-10-18 00:00:00,,IT,Affluent Customer,N,Yes,833 Luster Way,4005,QLD,Australia,8
30,31,Star,Praton,Female,1962-11-24 00:00:00,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,34 Russell Plaza,4127,QLD,Australia,6
31,32,Marion,Vanichkin,Female,1995-04-20 00:00:00,Legal Assistant,Manufacturing,Affluent Customer,N,No,78 Del Sol Hill,2535,New South Wales,Australia,8
32,33,Ernst,Hacon,Male,1957-06-25 00:00:00,Product Engineer,,Affluent Customer,N,Yes,54 Sage Plaza,4726,QLD,Australia,1
33,34,Jephthah,Bachmann,U,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,90 Lawn Parkway,4805,QLD,Australia,4
34,35,Margaretha,Strettle,Female,1963-09-28 00:00:00,Information Systems Manager,Health,High Net Worth,N,Yes,38726 Ilene Crossing,2212,New South Wales,Australia,10
35,36,Lurette,Stonnell,Female,1977-11-09 00:00:00,VP Quality Control,,Affluent Customer,N,No,3496 Brown Drive,2207,New South Wales,Australia,8
36,37,Laurie,Dwerryhouse,Female,1985-12-22 00:00:00,Social Worker,Health,High Net Worth,N,No,7188 Cody Way,3350,VIC,Australia,9
37,38,Cordi,Merman,Female,1955-10-29 00:00:00,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,1 Claremont Park,3931,VIC,Australia,10
38,39,Hunfredo,Smalley,Male,1979-04-16 00:00:00,Assistant Media Planner,Entertainment,Mass Customer,N,No,60 Eagan Circle,4018,QLD,Australia,8
39,40,Tomasine,Jerche,Female,1981-10-27 00:00:00,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,89314 Eagle Crest Center,4670,QLD,Australia,2
40,41,Basilius,Coupe,Male,1976-04-14 00:00:00,Food Chemist,Health,Mass Customer,N,No,2028 Lakewood Place,2480,New South Wales,Australia,3
41,42,Chiquita,Durnall,Female,1977-03-28 00:00:00,Accountant III,Manufacturing,Mass Customer,N,No,70875 Hudson Point,3212,VIC,Australia,6
42,43,Indira,Belt,Female,1983-03-01 00:00:00,Director of Sales,Retail,Mass Customer,N,No,543 Killdeer Park,2322,New South Wales,Australia,4
43,44,Neron,Verick,Male,1981-10-18 00:00:00,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,22125 Ramsey Drive,3198,VIC,Australia,9
44,45,Trace,Woodhead,Male,1975-09-23 00:00:00,Senior Financial Analyst,Financial Services,Mass Customer,N,No,3107 Calypso Terrace,2210,New South Wales,Australia,9
45,46,Kaila,Allin,Female,1972-02-26 00:00:00,,,Affluent Customer,N,Yes,957 Veith Junction,2047,New South Wales,Australia,10
46,47,Matthew,Jeaycock,Male,1992-10-22 00:00:00,Registered Nurse,Health,Affluent Customer,N,No,4853 Gulseth Avenue,4503,QLD,Australia,5
47,48,Rebbecca,Casone,Female,1975-08-15 00:00:00,Biostatistician II,,Mass Customer,N,Yes,9 Michigan Terrace,2145,New South Wales,Australia,8
48,49,Nolly,Ownsworth,Male,1994-01-26 00:00:00,VP Quality Control,,Affluent Customer,N,No,62 Steensland Road,4350,QLD,Australia,3
49,50,Whitby,Schapero,Male,1980-10-01 00:00:00,Account Executive,Manufacturing,Mass Customer,N,Yes,6 Homewood Avenue,2142,New South Wales,Australia,8
50,51,Fidelio,Dilke,Male,1959-12-05 00:00:00,Computer Systems Analyst II,Retail,Mass Customer,N,No,15 Almo Lane,2029,New South Wales,Australia,10
51,52,Curran,Bentson,Male,1988-06-22 00:00:00,,Financial Services,Mass Customer,N,Yes,690 Glacier Hill Circle,2127,New South Wales,Australia,10
52,53,Agnella,Gocke,Female,1954-04-18 00:00:00,Software Test Engineer II,Financial Services,Mass Customer,N,No,89787 Village Green Terrace,4280,QLD,Australia,6
53,54,Loralyn,Wonfor,Femal,1966-07-24 00:00:00,Sales Associate,Property,Mass Customer,N,Yes,18 Elgar Park,2166,New South Wales,Australia,9
54,55,Linc,Jillions,Male,1956-09-24 00:00:00,Paralegal,Financial Services,Affluent Customer,N,Yes,413 Mayer Street,2046,New South Wales,Australia,9
55,56,Reese,Ensor,Male,1996-07-04 00:00:00,VP Sales,Property,Mass Customer,N,Yes,39 3rd Drive,2026,New South Wales,Australia,10
56,57,Abba,Masedon,M,1988-06-13 00:00:00,Chief Design Engineer,,Mass Customer,N,Yes,44516 Katie Parkway,2765,New South Wales,Australia,7
57,58,Dalenna,Pinnock,Female,1967-07-04 00:00:00,Office Assistant III,Financial Services,Affluent Customer,N,Yes,41 Schurz Center,2749,New South Wales,Australia,8
58,59,Niki,Heathcote,Male,2000-02-08 00:00:00,Physical Therapy Assistant,,High Net Worth,N,No,68150 Boyd Road,2745,New South Wales,Australia,9
59,60,Nadiya,Champerlen,Female,1970-02-04 00:00:00,,Manufacturing,Mass Customer,N,No,11474 Westend Hill,3752,VIC,Australia,8
60,61,Kacey,Rowbottom,Female,1959-11-29 00:00:00,Help Desk Operator,Property,High Net Worth,N,No,308 Jana Crossing,2153,New South Wales,Australia,10
61,62,Sorcha,Roggers,Female,1979-07-06 00:00:00,,IT,Mass Customer,N,Yes,163 Straubel Trail,2217,New South Wales,Australia,10
62,63,Ebony,Zini,Female,1965-07-03 00:00:00,Senior Quality Engineer,Retail,Mass Customer,N,Yes,68294 Clarendon Crossing,2230,New South Wales,Australia,10
63,64,Gerek,Yve,Male,1978-03-25 00:00:00,Legal Assistant,IT,High Net Worth,N,No,486 Mariners Cove Plaza,3046,VIC,Australia,7
64,65,Yale,Tanser,Male,1976-04-01 00:00:00,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,0322 Dryden Court,3183,VIC,Australia,7
65,66,Anselm,Gawne,Male,2002-03-11 00:00:00,Account Executive,Argiculture,High Net Worth,N,No,9 Bonner Road,2070,New South Wales,Australia,12
66,67,Vernon,,Male,1960-06-14 00:00:00,Web Developer II,Retail,Mass Customer,N,No,07041 Briar Crest Lane,2213,New South Wales,Australia,10
67,68,Dahlia,Eddoes,Female,1974-04-21 00:00:00,Information Systems Manager,,Affluent Customer,N,No,29466 Hanson Pass,4208,QLD,Australia,6
68,69,Heidi,Milner,Female,1969-06-22 00:00:00,Web Developer II,,Mass Customer,N,No,0212 Forest Run Trail,2774,New South Wales,Australia,8
69,70,Foster,Vannoort,Male,1993-02-27 00:00:00,Paralegal,Financial Services,Affluent Customer,N,No,33055 Menomonie Parkway,4133,QLD,Australia,8
70,71,Hoyt,Glavias,Male,1985-01-27 00:00:00,Research Associate,Argiculture,Affluent Customer,N,Yes,4763 Merchant Avenue,2756,New South Wales,Australia,8
71,72,Sammy,Cheese,Male,1972-02-13 00:00:00,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,439 Ridgeway Court,4213,QLD,Australia,9
72,73,Minette,Worters,Female,1960-05-27 00:00:00,Teacher,,Affluent Customer,N,Yes,2 Clyde Gallagher Lane,4170,QLD,Australia,5
73,74,Pansy,Kiddie,Female,1969-06-19 00:00:00,,,Mass Customer,N,Yes,97455 Loeprich Lane,2153,New South Wales,Australia,9
74,75,Dollie,Sealy,Female,1978-07-15 00:00:00,VP Product Management,Property,Mass Customer,N,No,9527 Ridgeway Street,2073,New South Wales,Australia,10
75,76,Rea,Hasser,Female,1978-01-23 00:00:00,Statistician II,Retail,High Net Worth,N,Yes,7 Jackson Point,3561,VIC,Australia,1
76,77,Shermie,Andrin,Male,1989-09-12 00:00:00,Automation Specialist IV,Financial Services,Mass Customer,N,No,74 Anniversary Junction,2330,New South Wales,Australia,6
77,78,Arch,Van der Kruis,Male,1985-03-12 00:00:00,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,2083 Spaight Court,3977,VIC,Australia,8
78,79,Tybi,Silliman,Female,1968-10-02 00:00:00,Account Executive,Manufacturing,Mass Customer,N,No,2796 Caliangt Circle,2204,New South Wales,Australia,12
79,80,Pablo,Small,Male,1978-04-24 00:00:00,Data Coordiator,Entertainment,Mass Customer,N,No,96061 Ludington Place,2086,New South Wales,Australia,11
80,81,Bee,Blazewicz,Female,1986-09-04 00:00:00,,Health,High Net Worth,N,No,5037 Merchant Crossing,2226,New South Wales,Australia,11
81,82,Gleda,Cokely,Female,1965-06-28 00:00:00,Software Test Engineer III,Property,High Net Worth,N,No,289 Haas Street,2075,New South Wales,Australia,11
82,83,Kerr,Simmell,Male,1967-02-26 00:00:00,Internal Auditor,IT,Mass Customer,N,Yes,4423 Bartelt Parkway,2038,New South Wales,Australia,12
83,84,Rich,Mathiasen,Male,1958-02-07 00:00:00,Accountant III,,Mass Customer,N,Yes,5 Grim Center,2069,New South Wales,Australia,12
84,85,Kane,Tixall,Male,1958-05-21 00:00:00,Analyst Programmer,,Mass Customer,N,No,73042 Roth Crossing,2100,New South Wales,Australia,11
85,86,Job,Sleney,Male,1989-03-04 00:00:00,Occupational Therapist,Health,High Net Worth,N,Yes,171 Fordem Junction,2233,New South Wales,Australia,10
86,87,Fields,Langdon,Male,1974-04-23 00:00:00,Editor,Financial Services,Mass Customer,N,No,2640 Manley Point,2166,New South Wales,Australia,9
87,88,Malynda,Tumber,Female,1966-02-03 00:00:00,Help Desk Operator,Property,High Net Worth,N,Yes,3 Hintze Pass,3133,VIC,Australia,10
88,89,Benedicto,Hoxey,Male,1967-01-22 00:00:00,Speech Pathologist,Health,Mass Customer,N,Yes,2 Mcbride Road,3070,VIC,Australia,10
89,90,Cary,Garron,Male,1984-11-12 00:00:00,Quality Control Specialist,Manufacturing,Mass Customer,N,No,67234 Transport Hill,2777,New South Wales,Australia,7
90,91,Dylan,Meaker,Male,1955-02-24 00:00:00,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,72 Dorton Crossing,3133,VIC,Australia,10
91,92,Jodee,Judkins,Female,1980-09-11 00:00:00,Recruiting Manager,Health,Mass Customer,N,No,6 Heffernan Center,2125,New South Wales,Australia,11
92,93,Gordon,Gowar,Male,1976-07-16 00:00:00,Project Manager,Retail,Mass Customer,N,Yes,6088 Roxbury Hill,2766,New South Wales,Australia,8
93,94,Wallache,Simchenko,Male,1974-08-07 00:00:00,Civil Engineer,Manufacturing,Mass Customer,N,No,105 Shelley Alley,2209,New South Wales,Australia,10
94,95,Nomi,Mallinder,Female,1960-12-25 00:00:00,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,079 Merry Park,2160,New South Wales,Australia,9
95,96,Heath,Olford,Male,1968-08-31 00:00:00,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8722 Summit Alley,2065,New South Wales,Australia,12
96,97,Arne,Corain,Male,1979-07-27 00:00:00,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,9554 Artisan Pass,2150,New South Wales,Australia,10
97,98,Allianora,Babalola,Female,1956-03-17 00:00:00,Safety Technician IV,Health,Mass Customer,N,No,55850 Butterfield Road,2168,New South Wales,Australia,9
98,99,Reggie,Mulliner,Male,1998-06-13 00:00:00,VP Accounting,Financial Services,Mass Customer,N,No,68 Little Fleur Crossing,2046,New South Wales,Australia,12
99,100,Tripp,Steed,Male,1968-05-11 00:00:00,General Manager,Financial Services,Mass Customer,N,Yes,85688 New Castle Crossing,4171,QLD,Australia,10
100,101,Goran,Kwietek,Male,1975-12-29 00:00:00,Nurse Practicioner,Manufacturing,High Net Worth,N,No,8611 Loomis Lane,2155,New South Wales,Australia,10
101,102,Langsdon,Tranfield,Male,1956-11-27 00:00:00,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,7909 Pierstorff Crossing,2517,New South Wales,Australia,9
102,103,Ethyl,Runham,Female,1997-04-21 00:00:00,Product Engineer,Financial Services,Affluent Customer,N,Yes,01 Muir Parkway,2096,New South Wales,Australia,12
103,104,Odille,Panketh,Female,1978-06-06 00:00:00,Automation Specialist II,Health,Mass Customer,N,Yes,0410 Division Junction,2750,New South Wales,Australia,8
104,105,Maribeth,Pristnor,Female,2001-09-17 00:00:00,Recruiting Manager,Manufacturing,Mass Customer,N,No,41 Service Lane,2217,New South Wales,Australia,11
105,106,Glyn,,Male,1966-07-03 00:00:00,Software Test Engineer III,Health,High Net Worth,N,Yes,5 Moose Road,3977,VIC,Australia,8
106,107,Pris,Stallebrass,Female,1990-07-01 00:00:00,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,7342 Fieldstone Junction,2093,New South Wales,Australia,12
107,108,Kayle,Mingaud,Female,1994-03-14 00:00:00,,,High Net Worth,N,No,0 David Terrace,3204,VIC,Australia,11
108,109,Cody,Blabey,Male,1978-12-11 00:00:00,Marketing Assistant,,Affluent Customer,N,Yes,15239 Northwestern Point,4300,QLD,Australia,4
109,110,Sascha,St. Quintin,Male,2000-07-31 00:00:00,,Financial Services,Affluent Customer,N,No,60 Oneill Street,2170,New South Wales,Australia,9
110,111,Cele,Evason,Female,1993-08-29 00:00:00,Analyst Programmer,,Mass Customer,N,No,8194 Sachtjen Drive,3844,VIC,Australia,1
111,112,Shena,Parren,Female,1975-08-12 00:00:00,Marketing Manager,Retail,High Net Worth,N,No,0349 Farmco Terrace,2168,New South Wales,Australia,8
112,113,Gage,Nickless,Male,1956-05-06 00:00:00,Staff Scientist,,Mass Customer,N,No,185 Pennsylvania Way,4226,QLD,Australia,6
113,114,Sunny,Swindells,Female,1985-10-23 00:00:00,Teacher,Entertainment,Affluent Customer,N,No,432 Longview Circle,3192,VIC,Australia,10
114,115,Alberik,Mereweather,Male,1981-12-21 00:00:00,Account Executive,Health,Mass Customer,N,No,5814 Bunker Hill Street,3070,VIC,Australia,7
115,116,Scottie,Swiffen,Male,1999-02-05 00:00:00,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,7 Carberry Crossing,2485,New South Wales,Australia,2
116,117,Nance,Suttling,Female,1982-02-23 00:00:00,Marketing Manager,Manufacturing,Mass Customer,N,No,53 Talisman Trail,2097,New South Wales,Australia,9
117,118,Prentice,Pearmain,Male,1959-11-12 00:00:00,Budget/Accounting Analyst IV,,High Net Worth,N,No,5 Prairie Rose Road,4817,QLD,Australia,2
118,119,Willey,Chastanet,Male,1981-12-04 00:00:00,Associate Professor,,High Net Worth,N,Yes,84 Florence Parkway,2516,New South Wales,Australia,8
119,120,Sloan,Wagg,Male,1978-09-02 00:00:00,Legal Assistant,Financial Services,High Net Worth,N,Yes,739 Elmside Way,3074,VIC,Australia,8
120,121,Myles,Pauncefort,Male,1957-10-02 00:00:00,Graphic Designer,Manufacturing,Mass Customer,N,No,684 Northport Circle,2213,New South Wales,Australia,10
121,122,Colver,Itter,Male,1979-04-19 00:00:00,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,8 Hagan Hill,4508,QLD,Australia,4
122,123,Almeta,Kalinsky,Female,1988-12-03 00:00:00,Analyst Programmer,Financial Services,High Net Worth,N,No,0 Pearson Crossing,4405,QLD,Australia,1
123,124,Kath,Cunney,Female,1995-05-03 00:00:00,Administrative Assistant II,Health,High Net Worth,N,Yes,10918 Merry Way,2452,New South Wales,Australia,5
124,125,Darrelle,Antoniewski,Female,1960-03-17 00:00:00,Computer Systems Analyst II,Property,Mass Customer,N,No,97 Coolidge Trail,2142,New South Wales,Australia,9
125,126,Norman,Cliff,Male,1992-10-15 00:00:00,Administrative Officer,Health,Mass Customer,N,Yes,58 Helena Hill,2205,New South Wales,Australia,7
126,127,Merrili,Whitear,Female,1974-12-03 00:00:00,Compensation Analyst,Financial Services,Mass Customer,N,No,352 Forster Place,4132,QLD,Australia,3
127,128,Isidro,Cypler,Male,1977-07-17 00:00:00,Systems Administrator III,Property,Mass Customer,N,Yes,12306 Lawn Street,2145,New South Wales,Australia,8
128,129,Weidar,Silkstone,Male,1985-07-20 00:00:00,Financial Advisor,Financial Services,High Net Worth,N,Yes,19392 7th Trail,4744,QLD,Australia,1
129,130,Raddy,Delete,Male,1997-07-18 00:00:00,Chemical Engineer,Manufacturing,Mass Customer,N,No,1605 Northfield Junction,2158,New South Wales,Australia,11
130,131,Jana,Renyard,Female,1964-10-16 00:00:00,Administrative Officer,Retail,High Net Worth,N,No,9674 Graceland Junction,3201,VIC,Australia,6
131,132,Celesta,Willavoys,Female,1963-07-07 00:00:00,Web Designer I,Manufacturing,Mass Customer,N,Yes,638 Thackeray Junction,4178,QLD,Australia,3
132,133,Eldridge,Fiddeman,Male,1977-06-13 00:00:00,VP Accounting,Financial Services,Mass Customer,N,Yes,869 Forster Circle,2112,New South Wales,Australia,10
133,134,Merna,McCulloch,Female,1997-08-01 00:00:00,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,0 Golden Leaf Crossing,2033,New South Wales,Australia,9
134,135,Rosalia,Sigart,Female,1975-01-18 00:00:00,Internal Auditor,IT,Mass Customer,N,No,215 Lindbergh Trail,4401,QLD,Australia,1
135,136,Mel,Bennet,Male,1973-05-26 00:00:00,Senior Developer,Manufacturing,High Net Worth,N,Yes,829 Washington Crossing,3186,VIC,Australia,9
136,137,Vaughn,Artin,Male,1987-11-21 00:00:00,Office Assistant II,Property,High Net Worth,N,No,585 Loomis Court,2097,New South Wales,Australia,11
137,138,Onofredo,Franc,Male,1985-04-28 00:00:00,Recruiter,Financial Services,Affluent Customer,N,Yes,68063 Blue Bill Park Center,3058,VIC,Australia,9
138,139,Gar,,Male,1964-07-28 00:00:00,Operator,Telecommunications,Affluent Customer,N,No,15673 Farmco Point,4017,QLD,Australia,6
139,140,Morrie,Flaxon,Male,1994-05-20 00:00:00,Programmer Analyst III,Manufacturing,Mass Customer,N,No,22 Oxford Junction,2315,New South Wales,Australia,3
140,141,Townsend,Trobe,Male,1954-06-25 00:00:00,Teacher,Financial Services,High Net Worth,N,Yes,7245 Cottonwood Center,2285,New South Wales,Australia,5
141,142,Bentley,Fortesquieu,Male,1967-08-07 00:00:00,Quality Engineer,Health,Affluent Customer,N,No,20382 Spohn Alley,2219,New South Wales,Australia,11
142,143,Kendall,Figg,Male,1957-09-01 00:00:00,Operator,Argiculture,Mass Customer,N,Yes,12375 Cambridge Pass,2065,New South Wales,Australia,11
143,144,Jory,Barrabeale,U,,Environmental Tech,IT,Mass Customer,N,No,03 Granby Parkway,3216,VIC,Australia,8
144,145,Filippo,Ferrara,Male,1997-07-21 00:00:00,Account Executive,Financial Services,Mass Customer,N,No,939 Coleman Pass,4509,QLD,Australia,7
145,146,Ricoriki,Matlock,Male,1985-04-08 00:00:00,Quality Control Specialist,Manufacturing,Mass Customer,N,No,69914 Bowman Place,2330,NSW,Australia,7
146,147,Rea,Pattrick,Female,1973-12-06 00:00:00,Analog Circuit Design manager,Health,Mass Customer,N,Yes,34457 Springview Street,2759,NSW,Australia,9
147,148,Jaquith,Maffey,Female,1981-05-08 00:00:00,Programmer Analyst III,,Mass Customer,N,Yes,992 Old Shore Trail,2069,NSW,Australia,12
148,149,Drucy,Kausche,Female,1995-01-31 00:00:00,Research Nurse,Health,Mass Customer,N,Yes,453 Sheridan Street,2747,NSW,Australia,8
149,150,Bradly,Crosse,Male,1983-08-23 00:00:00,Cost Accountant,Financial Services,Affluent Customer,N,No,8 Mccormick Crossing,2227,NSW,Australia,8
150,151,Donnie,Brimson,Male,1965-01-31 00:00:00,Marketing Manager,Manufacturing,Mass Customer,N,Yes,63344 Holmberg Crossing,2025,NSW,Australia,10
151,152,Stephana,Cardew,Female,1981-03-03 00:00:00,Compensation Analyst,Financial Services,Mass Customer,N,No,9 Huxley Circle,3191,VIC,Australia,11
152,153,Lorilyn,Walshe,Female,1977-07-28 00:00:00,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,0 Hazelcrest Road,3025,VIC,Australia,8
153,154,Faydra,Dulieu,Female,1958-02-13 00:00:00,Junior Executive,,Mass Customer,N,No,2 Continental Plaza,2263,NSW,Australia,6
154,155,Orran,Bogges,Male,1985-12-28 00:00:00,Quality Engineer,Manufacturing,Mass Customer,N,No,80 Duke Terrace,2233,NSW,Australia,10
155,156,Shayla,Rimmington,Female,1979-09-09 00:00:00,Cost Accountant,Financial Services,Mass Customer,N,Yes,860 Hintze Lane,2154,NSW,Australia,11
156,157,Chad,Houtby,Male,1974-11-23 00:00:00,Financial Advisor,Financial Services,Affluent Customer,N,No,3723 Bunker Hill Circle,2065,NSW,Australia,10
157,158,Hamlin,Odams,Male,1984-09-03 00:00:00,Internal Auditor,,Affluent Customer,N,No,5 Corry Court,2119,NSW,Australia,10
158,159,Arin,Matskevich,Male,1987-05-12 00:00:00,Research Nurse,Health,Affluent Customer,N,No,65105 Sommers Pass,3016,VIC,Australia,10
159,160,Wake,Durning,Male,1964-07-15 00:00:00,Registered Nurse,Health,Mass Customer,N,No,2054 Sommers Pass,4113,QLD,Australia,4
160,161,Tadd,Bloss,Male,1976-01-21 00:00:00,,,Mass Customer,N,No,22371 Miller Trail,2032,NSW,Australia,10
161,162,Port,Acuna,Male,1979-08-12 00:00:00,Nurse Practicioner,IT,Mass Customer,N,No,35807 Oneill Way,4300,QLD,Australia,4
162,163,Kessia,Helder,Female,1976-09-06 00:00:00,Librarian,Entertainment,High Net Worth,N,Yes,75612 Clarendon Junction,4352,QLD,Australia,6
163,164,Aarika,Van Vuuren,Female,1999-08-07 00:00:00,Senior Editor,Retail,Affluent Customer,N,Yes,16 Golf View Center,3020,VIC,Australia,6
164,165,Aldon,Roelofs,Male,1984-03-25 00:00:00,Administrative Officer,Argiculture,Mass Customer,N,Yes,93 Iowa Junction,2116,NSW,Australia,9
165,166,Elston,Oleszczak,Male,1955-06-12 00:00:00,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,48 Cascade Terrace,3057,VIC,Australia,8
166,167,Nathalie,Tideswell,Female,1969-10-27 00:00:00,,Health,High Net Worth,N,Yes,13950 Jackson Avenue,2099,NSW,Australia,11
167,168,Reggie,Broggetti,U,,General Manager,IT,Affluent Customer,N,Yes,35386 Mockingbird Road,3749,VIC,Australia,4
168,169,Alfy,Bruhnke,Male,1957-10-19 00:00:00,Data Coordiator,Telecommunications,High Net Worth,N,Yes,2 Randy Point,2766,NSW,Australia,8
169,170,Jammal,Gever,Male,1975-06-02 00:00:00,Pharmacist,Health,High Net Worth,N,No,6898 Redwing Park,2148,NSW,Australia,9
170,171,Halli,Davidoff,Female,1970-12-04 00:00:00,Assistant Manager,Manufacturing,Mass Customer,N,No,52273 Bay Place,3145,VIC,Australia,11
171,172,Hilton,Carney,Male,1988-09-12 00:00:00,Editor,Manufacturing,Affluent Customer,N,Yes,272 Montana Avenue,2021,NSW,Australia,8
172,173,Ebba,Hanselmann,Female,1997-01-02 00:00:00,General Manager,Health,Affluent Customer,N,No,82520 Mifflin Drive,2333,NSW,Australia,5
173,174,Catie,Tosspell,Female,1989-11-26 00:00:00,Food Chemist,Health,Mass Customer,N,No,8 Dixon Parkway,2783,NSW,Australia,7
174,175,Templeton,Hambrook,Male,1975-11-28 00:00:00,Quality Engineer,Manufacturing,Affluent Customer,N,No,4 Dayton Terrace,2280,NSW,Australia,9
175,176,Angelo,Clayal,Male,1992-04-13 00:00:00,Accountant I,Property,Mass Customer,N,No,216 Barnett Junction,4120,QLD,Australia,8
